game_title_id,effective_start_date,effective_end_date,version_id,game_title,release_date,contract_name,created_timestamp,created_by,updated_timestamp,updated_by
1,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,3,03-2021:Giraffe & Annika:Giraffe & Annika NSW,2020-08-25T00:00:00.000Z,Giraffe and Annika,2023-03-17T20:37:21.000Z,Retool Admin,2025-06-12T19:36:31.000Z,Retool Admin
2,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2021:Giraffe & Annika:Giraffe & Annika PS4,2020-08-25T00:00:00.000Z,Giraffe and Annika,2023-03-17T20:37:22.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
268,2022-09-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,03-2020:Neo Atlas 1469:Neo Atlas 1469 NSW,2019-04-09T00:00:00.000Z,Giraffe and Annika,2023-05-25T22:14:52.000Z,Nisa Retool,2023-05-25T22:15:47.000Z,Nisa Retool
3,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2020:LA-MULANA 1 (Digital):LA-MULANA 1 NSW,2020-03-17T00:00:00.000Z,LA-MULANA 1&2,2023-03-17T20:37:22.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
4,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2020:LA-MULANA 1 (Digital):LA-MULANA 1 PS4,2020-03-17T00:00:00.000Z,LA-MULANA 1&2,2023-03-17T20:37:22.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
5,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2020:LA-MULANA 1 (Digital):LA-MULANA 1 XBOX,2020-03-17T00:00:00.000Z,LA-MULANA 1&2,2023-03-17T20:37:23.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
6,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2020:LA-MULANA 2 (Digital):LA-MULANA 2 NSW,2020-03-17T00:00:00.000Z,LA-MULANA 1&2,2023-03-17T20:37:23.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
7,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2020:LA-MULANA 2 (Digital):LA-MULANA 2 PS4,2020-03-17T00:00:00.000Z,LA-MULANA 1&2,2023-03-17T20:37:23.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
8,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2020:LA-MULANA 2 (Digital):LA-MULANA 2 XBOX,2020-03-17T00:00:00.000Z,LA-MULANA 1&2,2023-03-17T20:37:23.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
9,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,03-2020:La-Mulana 1&2:La-Mulana 1&2 PS4,2020-03-17T00:00:00.000Z,LA-MULANA 1&2,2023-03-17T20:37:24.000Z,Yosuke Akutsu,2023-03-21T01:45:57.000Z,Yuta Okazaki
