contract_id,effective_start_date,effective_end_date,version_id,contract_name,mg_beginning_balance,pp_beginning_balance,mg_original_paid,licensor_name,created_timestamp,created_by,updated_timestamp,updated_by
52,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,Clan of Champions,320593.31,0,350000,Acquire Corporation,2023-03-17T18:27:50.000Z,Nisa Retool,2023-06-03T18:42:59.000Z,Nisa Retool
127,2022-09-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,Kamiwaza,250000.12,0,250000,Acquire Corporation,2023-05-25T21:38:39.000Z,Nisa Retool,2023-06-03T17:37:46.000Z,Nisa Retool
16,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,Caligula Effect 2,69422.73,0,300000,FURYU Corporation,2023-03-17T18:27:50.000Z,Nisa Retool,2023-06-03T17:45:09.000Z,Nisa Retool
17,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Monark,56751.6,0,600000,FURYU Corporation,2023-03-17T18:27:50.000Z,Yosuke Akutsu,2023-03-20T20:37:39.000Z,Yosuke Akutsu
18,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,Crystar,79953.78,0,180000,FURYU Corporation,2023-03-17T18:27:51.000Z,Nisa Retool,2023-06-03T17:45:17.000Z,Nisa Retool
28,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Caligula Effect,0,0,0,FURYU Corporation,2023-03-17T18:27:51.000Z,Yosuke Akutsu,2023-03-20T20:37:45.000Z,Yosuke Akutsu
30,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Alliance Alive,0,0,0,FURYU Corporation,2023-03-17T18:27:51.000Z,Yosuke Akutsu,2023-03-20T20:37:46.000Z,Yosuke Akutsu
144,2023-05-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,2,Caligula Effect 1&2 PS5,300000,0,300000,FURYU Corporation,2023-06-30T21:08:39.000Z,Nisa Retool,2023-10-11T18:19:57.000Z,Nisa Retool
146,2023-09-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,CRYMACHINA,661250,0,661250,FURYU Corporation,2023-10-11T18:22:57.000Z,Nisa Retool,2023-10-11T18:22:57.000Z,Nisa Retool
149,2024-02-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,Legend of Legacy HD,600000,0,600000,FURYU Corporation,2024-03-05T20:07:31.000Z,Izumi Ebitsuka,2024-03-05T20:07:31.000Z,Izumi Ebitsuka
155,2024-08-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,REYNATIS,800000,0,800000,FURYU Corporation,2024-09-09T16:36:41.000Z,Izumi Ebitsuka,2024-09-09T16:36:41.000Z,Izumi Ebitsuka
158,2024-10-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,0,REYNATIS Goods,0,0,0,FURYU Corporation,2024-11-07T22:06:09.000Z,Izumi Ebitsuka,2024-11-07T22:06:09.000Z,Izumi Ebitsuka
0,2022-07-01T00:00:00.000Z,2099-12-31T00:00:00.000Z,1,Giraffe and Annika,20208.17,0,100000,Active Gaming Media Inc.,2023-03-17T18:27:26.000Z,Nisa Retool,2023-06-03T17:38:22.000Z,Nisa Retool
