,Item,Game Title,Sales (USD),COGS Expense,Royalty Expense,Capitalized Expense Amount (Debit + Credit),AD Promotion,Profit
0,AEC1-PSP,AEDIS ECLIPSE-PSN,10.47,,,,,10.47
1,AHL3-PS3,ARCANA HEART 3 PAL PS3,78.5,,133.66,,,-55.16
2,AHL3-PSV,ARCANA HEART 3 PAL PSV,9.31,,,,,9.31
3,AKB2-PS3,AKIBA TRIP 2,44.49,,48.06,,,-3.5700000000000003
4,AKB2-PS4,AKIBA TRIP 2,690.13,,581.14,,,108.99000000000001
5,AKB2-PSV,AKIBA TRIP 2,35.78,,25.0,,,10.780000000000001
6,ARA-ANM,ARAKAWA-NET,91.32,,,,,91.32
7,ARC1-PS3,ARCADIAS PS3 US FOR PSN,195.03,,,,,195.03
8,ASP1-STM,ASSAULT SPY,467.38,,2228.88,,,-1761.5
9,ATM1-PS3,ATELIER MERURU PS3,16.74,,13.98,,,2.759999999999998
10,ATT1-PS3,ATELIER TOTORI-US,46.08,,35.550000000000004,,,10.529999999999994
11,BAD1-PSP,MY LORD!? 1 PSP,13.96,,,,,13.96
12,BDA1-PSP,BLADE DANCER PSP,13.96,,6.98,,,6.98
13,BNY-ANM,BUNNY DROP-NET,162.94,,,,,162.94
14,BRS1-PSP,BLACK ROCK SHOOTER-PSNE,87.2,,64.37,,,22.83
15,BRV-ANM,BRAVE 10,8.92,,,,,8.92
16,BTH1-NSW,HAPPY BIRTHDAYS NSW,824.06,,505.30999999999995,,,318.75
17,BTH1-PS4,BIRTHDAYS THE BEGINNING PS4,848.46,,1624.8600000000001,,,-776.4000000000001
18,BTH1-STM,BIRTHDAYS STEAM,746.07,,1961.84,,,-1215.77
19,CCS1-ANM,CARDCAPTOR SAKURA,750.61,,,,,750.61
20,CCS1-BRD,CARDCAPTOR SAKURA,2699.7,285.66,,,,2414.04
21,CCS2-ANM,CARDCAPTOR SAKURA,231.01,,,,,231.01
22,CCS3-ANM,CARDCAPTOR SAKURA,254.68,,,,,254.68
23,CDU1-PSP,CLASSIC DUNGEON-PSP (US),6.98,,,,,6.98
24,CDU2-PSP,CLADUN2 PSP FOR PSN,6.99,,,,,6.99
25,CDU2-STM,CLADUN 2-STEAM,40.1,,,,,40.1
26,CDU3-PS4,CLADUN RETURNS THIS IS SENGOKU,220.0,,,,,220.0
27,CDU3-PSV,CLADUN RETURNS THIS IS SENGOKU,27.98,,,,,27.98
28,CDU3-STM,CLADUN RETURNS THIS IS SENGOKU,50.17,,,,,50.17
29,CED1-PS3,CROSS EDGE-DLC US,43.8,,,,,43.8
30,CEO1-NSW,THE CALIGULA EFFECT NSW,1621.02,,1616.71,,,4.309999999999945
31,CEO1-PS4,THE CALIGULA EFFECT PS4,276.90999999999997,,500.89,,,-223.98000000000002
32,CEO1-PS5,CALIGULA EFFECT 1 PS5,396.7,,3764.66,,,-3367.96
33,CEO1-STM,THE CALIGULA EFFECT STEAM,398.15,,3906.7499999999995,,,-3508.5999999999995
34,CEO2-NSW,CALIGULA EFFECT 2 NSW,1176.06,,1589.06,,,-413.0
35,CEO2-PS4,CALIGULA EFFECT 2 PS4,1931.44,,372.89,,,1558.5500000000002
36,CEO2-PS5,CALIGULA EFFECT 2 PS5,757.22,,361.69,,,395.53000000000003
37,CGH-ANM,CHRONICLES-GOING HOME CLUB,24.02,,,,,24.02
38,CGI2-PSV,CRIMINAL GIRLS 2 PSV,34.95,,,,,34.95
39,CGS2-PSV,CRIMINAL GIRLS PSV,121.47000000000001,,,,,121.47000000000001
40,CGS2-STM,CRIMINAL GIRLS STEAM,155.15,,,,,155.15
41,COC1-PS3,CLAN OF CHAMPIONS PS3,9.72,,23.6,,,-13.88
42,COC1-STM,CLAN OF CHAMPIONS-STEAM,7.51,,42.34,,,-34.830000000000005
43,CRY1-NSW,CRYSTAR NSW,2225.05,,4971.879999999999,,,-2746.829999999999
44,CRY2-NSW,CRYMACHINA NSW,1945.59,,6380.62,,,-4435.03
45,CRY2-PS4,CRYMACHINA PS4,524.12,,951.9999999999999,,,-427.8799999999999
46,CRY2-PS5,CRYMACHINA PS5,4742.889999999999,,11300.86,,,-6557.970000000001
47,CRY2-STM,CRYMACHINA STEAM,3881.51,,33215.58,,,-29334.07
48,D1C1-NSW,DISGAEA 1 COMPLETE NSW,5602.959999999999,,,,,5602.959999999999
49,D1C1-PS4,DISGAEA 1 COMPLETE PS4 DIGITAL,1437.74,,,,,1437.74
50,D4C1-MST,DISGAEA 4 COMPLETE+ GAME PASS,70.17,,,,,70.17
51,D4C1-NSW,DISGAEA 4 NSW,1987.4,,,,,1987.4
52,D4C1-PS4,DISGAEA 4 PS4,2302.32,,,,,2302.32
53,D4C1-STM,DISGAEA 4 COMPLETE+ STEAM,9846.050000000001,,,,,9846.050000000001
54,D6C1-PS4,DISGAEA 6 COMPLETE PS4,1254.5900000000001,160.45,,,,1094.14
55,D6C1-PS5,DISGAEA 6 COMPLETE PS5,3628.11,187.54,,,,3440.57
56,D6C1-STM,DISGAEA 6 COMPLETE STEAM,7679.66,,,,,7679.66
57,DAR1-PSP,DRAGONEER'S ARIA,6.98,,,,,6.98
58,DDT1-PS3,DISGAEA D2 PS3,449.97,,,,,449.97
59,DEC1-NSW,DESTINY CONNECT NSW,966.07,,,,,966.07
60,DEC1-PS4,DESTINY CONNECT PS4,412.29,,,,,412.29
61,DEG1-PSV,DEMON GAZE PSV-PAL,1.2799999999999998,,,,,1.2799999999999998
62,DEG2-PSV,DEMON GAZE 2 PSV PAL,45.33,,,,,45.33
63,DEN-ANM,DENPA ONNA TO SEISHUN OTOKO,42.28,,,,,42.28
64,DIN1-PSP,DISGAEA INFINITE PSP,3.74,,,,,3.74
65,DIR4-NSW,DISASTER REPORT 4 NSW,569.25,,2309.74,,,-1740.4899999999998
66,DIR4-PS4,DISASTER REPORT 4 PS4,4741.22,,4239.51,,,501.71000000000004
67,DIR4-STM,DISASTER REPORT 4 STEAM,486.54,,1403.2399999999998,,,-916.6999999999998
68,DIS1-PSP,DISGAEA 1 PSP,6.99,,,,,6.99
69,DIS1-STM,DISGAEA 1 STEAM,6920.51,,,,,6920.51
70,DIS2-PSP,DISGAEA 2 PSP,49.72,,,,,49.72
71,DIS2-STM,DISGAEA 2 STEAM,4253.03,,,,,4253.03
